sim gen PatchID env.qual K succrate ExpOff Nadult Nimmat Nsuc Nfail Njuv NpreDisp NDisp Nstay Nimmigr Nadfinal Nimmatfin
0 3000 4 -1.23907 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 5 0.432627 143.263 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 6 0.422911 142.291 0.641791 1.03001 134 179 86 48 136 133 35 98 56 154 192 
0 3000 7 -1.42962 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 8 0.0399211 103.992 0.597315 0.822098 149 108 89 60 119 142 32 110 48 158 133 
0 3000 9 -0.30741 69.259 0.554286 0.567095 175 184 97 78 124 170 56 114 40 154 193 
0 3000 10 -0.912994 8.70058 0.394737 0.372611 38 19 15 23 16 40 11 29 35 64 20 
0 3000 11 -0.662069 33.7931 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 12 -0.963698 3.63016 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 13 -1.23821 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 14 -0.672468 32.7532 0.606061 0.996246 33 35 20 13 33 40 10 30 43 73 33 
0 3000 15 -0.0634078 93.6592 0.573427 0.791511 143 130 82 61 119 144 45 99 52 151 158 
0 3000 16 0.091109 109.111 0.457627 0.762717 177 192 81 96 121 184 63 121 26 147 178 
0 3000 17 -1.25936 0 0 0 106 59 0 106 0 89 45 44 0 44 38 
0 3000 18 0.52888 152.888 0.668639 0.949945 169 189 113 56 175 179 44 135 60 195 199 
0 3000 19 0.406315 140.631 0.597826 1.20905 92 99 55 37 97 97 29 68 50 118 107 
0 3000 20 -0.368982 63.1017 0.429379 0.525625 177 264 76 101 98 173 61 112 43 155 214 
0 3000 21 -0.304951 69.5049 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 22 -1.12121 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 23 1.255 225.5 0.661654 0.9176 266 402 176 90 278 269 71 198 45 243 400 
0 3000 24 0.0585 105.85 0.666667 1.13299 81 115 54 27 84 88 26 62 57 119 113 
0 4000 0 0.202131 120.213 0.675 1.00089 120 143 81 39 131 110 23 87 34 121 161 
0 4000 1 -1.26399 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 2 -0.471141 52.8859 0.317568 0.526527 148 183 47 101 60 145 55 90 18 108 147 
0 4000 3 0.288578 128.858 0.708861 1.23987 79 29 56 23 91 70 7 63 48 111 71 
0 4000 4 0.133049 113.305 0.677778 1.11463 90 103 61 29 109 96 26 70 25 95 108 
0 4000 5 0.363168 136.317 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 6 0.986109 198.611 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 7 0.0422091 104.221 0.704918 1.26159 61 67 43 18 80 55 10 45 57 102 77 
0 4000 8 -0.716682 28.3318 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 9 -0.200226 79.9774 0.481203 0.751041 133 174 64 69 83 128 41 87 22 109 153 
0 4000 10 2.09339 309.339 0.693182 1.27473 176 292 122 54 219 176 40 136 41 177 307 
0 4000 11 0.0364256 103.643 0.60396 1.01291 101 97 61 40 100 99 28 71 27 98 118 
0 4000 12 -0.170567 82.9433 0.490066 0.709089 151 174 74 77 100 155 58 97 31 128 168 
0 4000 13 -0.148603 85.1397 0 -999 0 1 0 0 0 0 0 0 0 0 0 
0 4000 14 -1.94528 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 15 0.335005 133.501 0.603448 0.868295 174 255 105 69 159 194 60 134 28 162 236 
0 4000 16 0.132811 113.281 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 17 -1.99765 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 18 -0.787951 21.2049 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 19 0.762795 176.279 0.677419 0.973168 186 282 126 60 225 190 40 150 42 192 280 
0 4000 20 -0.676966 32.3034 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 21 0.589818 158.982 0.683453 1.06706 139 179 95 44 165 140 35 105 37 142 194 
0 4000 22 0.714391 171.439 0.608392 1.09044 143 171 87 56 137 144 31 113 44 157 188 
0 4000 23 -0.532117 46.7883 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 24 -0.600927 39.9073 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 0 1.18503 218.503 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 1 -1.00375 0 0 0 105 92 0 105 0 106 51 55 0 55 54 
0 5000 2 -0.339714 66.0286 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 3 -0.471556 52.8444 0 -999 0 0 0 0 0 0 0 0 0 0 0 
